hotel_id,address,rank,Description,Amenities,score,Location,Cleanliness,Service,Value,n_Excellent,n_VeryGood,n_Average,n_Poor,n_Terrible
11,"4 Portal Way Gypsy Corner, A40, London W3 6RT England",141,"Welcome to Holiday Inn London-West. Discover a fantastic arrival experience at the Holiday Inn London - west with our new beautifully designed Open Lobby and stunning brand new Executive Rooms (including some with London skyline views). Our hotel is conveniently located between Heathrow Airport and the centre of London, with Park Royal, the largest business park in London, and Wembley Stadium just a few minutes' drive away. The shopping, business and entertainment areas of London are easily accessible by London Underground (North Acton tube station on Central Line is under five-minute walk from the hotel). Book a room with us and you'll be guaranteed a memorable stay experience.","['Paid private parking on-site', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Taxi service', 'Business Centre with Internet Access', 'Conference facilities', 'Baggage storage', 'Secured parking', 'Wifi', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Complimentary instant cofffee', 'Snack bar', 'Special diet menus', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Newspaper', 'Non-smoking hotel', 'Sun terrace', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Shoeshine', 'Soundproof rooms', 'Desk', 'Housekeeping', 'Room service', 'Safe', 'Flatscreen TV', 'Sofa bed', 'Walk-in shower', 'Telephone', 'VIP room facilities', 'Iron', 'Bath / shower', 'Complimentary toiletries', 'Hair dryer', 'City view', 'Non-smoking rooms', 'Family rooms']",4.5,4.0,4.5,4.5,4.0,653,353,108,44,30
12,"40 Trinity Square, London EC3N 4DJ England",145,"Located right on top of Tower Hill Underground Station and close to the Tower of London and Tower Bridge. citizenM has 370 luxury rooms to offer you the most comfortable yet affordable stay. With its unbelievably central location at Tower Hill, citizenM is the best choice for your getaway.","['Free High Speed Internet (WiFi)', 'Bar / lounge', 'Conference facilities', 'Meeting rooms', 'Baggage storage', 'Non-smoking hotel', '24-hour check-in', 'Express check-in / check-out', 'Wifi', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Snack bar', 'Wine / champagne', 'Rooftop bar', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Blackout curtains', 'Soundproof rooms', 'Air conditioning', 'Desk', 'Refrigerator', 'Cable / satellite TV', 'Extra long beds', 'Bath / shower', 'Housekeeping', 'Safe', 'Telephone', 'Bottled water', 'Laptop safe', 'Private bathrooms', 'Wake-up service / alarm clock', 'Flatscreen TV', 'On-demand films', 'Radio', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms']",4.5,5.0,4.5,4.5,4.5,2465,921,223,93,48
13,"100 Vauxhall Walk, London SE11 5EJ England",37,"More Home than Hotel !!! A warm and friendly welcome awaits you at Staybridge Suites London - Vauxhall hotel, located in a quiet, leafy side street just off Albert Embankment and only minutes away from Vauxhall tube, bus and rail links. The hotel is superbly located, offering stunning views of the London Eye Westminster and just a short stroll from London's eclectic Southbank. From the moment you step into our bright and contemporary lobby you will feel completely at 'home'. This is a hotel where you come to live, rather than stay - so settle in and unwind by the fireplace in our lounge. Your Suite: Head up to your strikingly modern yet cosy studio or one bedroom suite where you will find all the comforts of home with all the mod-cons, including wireless internet throughout. The fully equipped kitchen in your suite makes it easy to prepare your own meals - you'll find all the groceries you need at our 24-hour 'Pantry'. Discover a fresh approach to your extended stay... Your Hub: Our Complimentary 'make yourself at home' breakfast is served in our Hub Kitchen daily and in the evening, our guests can network or mingle over complimentary drinks and snacks at our Managers Social, held every Monday, Tuesday and Wednesday. After a long day, you can energize in the Fitness Centre or meet in the Den meeting room. Airports: •London City Airport (LCY) - 9 miles •London Heathrow (LHR) - 18.3 miles •London Gatwick (LGW) - 25.8 miles Railway Station: • Vauxhall Train Station 0.3 miles (2 minutes walk) • Inbound to London Waterloo via South West Trains 5-10 minutes) • Outbound via South West trains to Clapham Junction,Wimbledon, Woking, Basingstoke, Guilford, Portsmouth,Salisbury, Southampton, Bournemouth, Weymouth. Subway/Underground Station: • Vauxhall Train Station 0.3 miles (2 minutes walk) • Victoria Line (Northbound - 2 stop Victoria, 3 stops - Green Park, 4 stops - Oxford Circus)","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Free breakfast', 'Board games / puzzles', 'Video game console', 'Pets Allowed ( Dog / Pet Friendly )', 'Business Centre with Internet Access', 'Wifi', 'Breakfast buffet', 'Complimentary instant cofffee', 'Complimentary tea', 'Happy hour', 'Meeting rooms', 'Fax / photocopying', 'Baggage storage', 'Convenience store', 'Newspaper', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Self-serve laundry', 'Air conditioning', 'Housekeeping', 'Safe', 'Kitchenette', 'Microwave', 'Refrigerator', 'Flatscreen TV', 'Non-smoking rooms', 'Suites']",5.0,4.5,5.0,5.0,4.5,978,191,25,9,5
14,"7 Western Gateway, London E16 1AA England",252,"A contemporary waterfront hotel located 150 metres from the ExCeL London & ICC (Exhibition Centre)and near the O2 Arena, Canary Wharf, Stratford, London City Airport (LCY) and historic Greenwich. The hotel is ideally located in the capital’s dynamic eastside and close to Westfield Stratford City shopping centre, which is only 10 minutes away. Novotel London ExCeL is a 5 minute walk from Custom House D.L.R. station. All Novation rooms have en-suite bathrooms with a bath and separate shower unit, as well as pivoting desk for working or dining, high speed internet, Wi-Fi access and satellite TV. The Upper Deck Restaurant offers panoramic views in a relaxed environment overlooking Royal Victoria Dock. Open from 6am to 10.00pm the Upper Deck also offers 24-hour room service. Paid car parking available.","['Parking', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Kids stay free', 'Children Activities (Kid / Family Friendly)', 'Business Centre with Internet Access', 'Conference facilities', 'Wifi', 'Restaurant', 'Breakfast buffet', 'Complimentary instant cofffee', 'Complimentary tea', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Spa', 'Baggage storage', 'Concierge', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'Refrigerator', 'Flatscreen TV', 'Non-smoking rooms', 'Suites', 'Family rooms']",4.0,4.0,4.5,4.0,4.0,1108,1210,361,101,59
15,"36 - 37 Cartwright Gardens, London WC1H 9EH England",62,"Studios2Let Serviced Apartments is a recently renovated and modernized property located in the heart of Bloomsbury. All apartments have en suite bathrooms. Furnished and fully fitted with flat screen TVs and DVD players, safe box, bathroom amenities, beautifully designed kitchens, fully equipped with all modern appliances including top of the range ovens, microwaves and fridge/freezer. All our studios come with double mattresses and our luxury bed linens will ensure a comfortable sleep. Other facilities welcome pack, free internet, over 30 TV channels (including selection of Sky channels) 24 hour Concierge Service and CCTV, laundry room, Fob key entry system, roof terrace and communal garden and lounge, weekly maid service. Location: Studios2Let is ideally located in the heart of Bloomsbury. • For the discerning connoisseur of fine foods there is a wide selection of restaurants within walking distance. • For shoppers, Brunswick Centre, Oxford Circus, Tottenham Court Rd, Marylebone High St, Covent Garden and Camden Market are all a short stroll away. • A wide selection of public gardens and gymnasium on our doorstep. • The British Museum and the British Library are both within 5 minutes walk.• Tennis enthusiasts can gain access to the tennis courts opposite the accommodation.","['Free High Speed Internet (WiFi)', 'Wifi', 'Complimentary instant cofffee', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Self-serve laundry', 'Air conditioning', 'Safe', 'Kitchenette', 'Microwave', 'Refrigerator', 'Flatscreen TV', 'Bath / shower', 'Hair dryer', 'Kitchenware', 'Non-smoking rooms']",4.0,4.5,4.5,4.0,4.0,888,1410,474,165,111
16,"Great Cumberland Place, London W1H 7DL England",615,"Drawing on the legacy of the greats who stayed here in decades past - and an inspiration to those who are yet to write their own story - the Hard Rock Hotel London stands alone as a haven for music lovers and cultural explorers everywhere. Built in one of London’s most central locations - on the corner of Oxford Street and Park Lane - the hotel puts guests just steps away from the very best England’s capital has to offer. The area’s chic boutiques, world- famous department stores and legendary nightlife are matched only by its historic West End theatres and the glorious green spaces of Hyde Park. Catering to the needs of both business and leisure travellers, Hard Rock Hotel London will boast 900 stylish rooms and suites, together with two vibrant bars and a lively Hard Rock Cafe®. Guests seeking the ultimate experience will have the opportunity to take their London stay to another level by becoming Rock Royalty®.","['Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Business Centre with Internet Access', 'Conference facilities', '24-hour security', 'Concierge', '24-hour front desk', 'Wifi', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Complimentary instant cofffee', 'Banquet room', 'Meeting rooms', 'Non-smoking hotel', 'Dry cleaning', 'Laundry service', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'VIP room facilities', 'Refrigerator', 'Flatscreen TV', 'Non-smoking rooms', 'Suites', 'Family rooms']",3.5,4.5,4.0,3.5,3.5,264,85,92,63,93
17,"9 Aldgate High Street, London EC3N 1AH England",254,"The perfect hotel choice for both business and leisure travellers that offers stylish and contemporary accommodation for the most discerning guests to enjoy, relax, party and refresh. This 13-storey hotel with 267 rooms including suites boasts modern architecture and design; alongside two restaurants, 24 hour gym, 4 meeting rooms and a destination rooftop terrace bar with a panoramic view of London’s most iconic skyline. Located in the heart of the City of London’s Financial district and the gateway to East London with the vibrancy of Shoreditch and its array of galleries, boutiques and markets nearby, the hotel is within walking distance to the Tower of London, Tower Bridge, Leadenhall Market, Tate Modern, Spitalfields Markets, Brick Lane, Borough Market and Columbia Road Flower Market.","['Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Children Activities (Kid / Family Friendly)', 'Taxi service', 'Business Centre with Internet Access', 'Meeting rooms', 'Rooftop terrace', 'Wifi', 'Restaurant', 'Breakfast buffet', 'Complimentary instant cofffee', 'Complimentary tea', 'Rooftop bar', '24-hour security', 'Baggage storage', 'Concierge', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'Telephone', 'Minibar', 'Refrigerator', 'Flatscreen TV', 'Wake-up service / alarm clock', 'Non-smoking rooms', 'Suites']",4.5,4.5,4.5,4.5,4.0,382,173,49,19,20
18,"16-22 Gunterstone Road West Kensington, London W14 9BU England",304,"The W14 Hotel London is a 3 Star Hotel located in trendy Kensington, London. The hotel spans four beautiful Victorian town houses with original features and has been given a clean, contemporary look. Situated in a quiet, leafy, residential road close to the prestigious shops of High Street Kensington, the W14 Hotel London is just a 10 minute underground ride from the sights and sounds of Central London. You can view the W14 Hotel London on our interactive map. Please also read the W14 Hotel London Reviews.","['Street parking', 'Free High Speed Internet (WiFi)', 'Free breakfast', 'Taxi service', 'Fax / photocopying', '24-hour security', 'Baggage storage', '24-hour front desk', 'Wifi', 'Breakfast available', 'Breakfast buffet', 'Complimentary instant cofffee', 'Complimentary tea', 'Vending machine', 'Non-smoking hotel', 'Outdoor furniture', 'Shared lounge / TV area', 'Express check-in / check-out', 'Allergy-free room', 'Blackout curtains', 'Air conditioning', 'Desk', 'Housekeeping', 'Safe', 'Flatscreen TV', 'Bath / shower', 'Soundproof rooms', 'Seating area', 'Telephone', 'Clothes rack', 'Iron', 'Wake-up service / alarm clock', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms']",4.0,4.0,4.0,4.0,4.0,708,763,201,71,104
19,"20 Tavistock Place Russell Square, London WC1H 9RE England",45,"The St. Athans Hotel, Bloomsbury, is a simple, eco-friendly, family-run bed & breakfast in the heart of London. It’s A grade II listed 200 year old Georgian terraced houses, retains many of its their original features, fitting in well with the historic area, and is within walking distance of the British Museum, the University of London, Covent Garden and the new British Library. We’re also only a short bus ride away from many major the attractions, such as of Madame Tussaud’s and London’s West End, with its many shops, theatres, bars, and restaurants.","['Free High Speed Internet (WiFi)', 'Wifi', 'Coffee shop', 'Board games / puzzles', 'Fax / photocopying', '24-hour security', 'Baggage storage', '24-hour front desk', 'Non-smoking hotel', 'Shared lounge / TV area', 'Non-smoking rooms', 'Family rooms']",4.0,4.5,4.0,4.0,4.0,257,343,139,44,37
20,"Wrights Lane Kensington, London W8 5SP England",482,"Holiday Inn London - Kensington High Street is a beautiful 4-star hotel centrally located near Kensington High Street tube station and a short walk from Kensington Palace & Gardens, Royal Albert Hall, Earls Court and the West End. The Hotel has 706 well-equipped non-smoking bedrooms including Executive bedrooms and Suites. Enjoy fresh seasonal dishes in the brasserie or a drink in the sunny private garden. Business traveller's appreciate free WiFi service, wide ranging room service menu and an executive lounge for VIPs too. State of the art meeting facilities for up to 250 delegates are ideal for meetings, dinners and weddings. Shopping at Westfield and Oxford Street is a short distance away. Imagine Health Club and Spa includes a fantastic new gym and an 18 metre swimming pool with sauna, steam rooms and jacuzzi. The Spa offers an enticing selection of massage, facial and beauty treatments with our expert therapists.","['Parking', 'Free internet', 'Pool', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Taxi service', 'Business Centre with Internet Access', 'Conference facilities', 'Wifi', 'Paid internet', 'Hot bath', 'Indoor pool', 'Heated pool', 'Fitness / spa changing rooms', 'Sauna', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Spa', '24-hour security', 'Baggage storage', 'Concierge', 'Currency exchange', 'Non-smoking hotel', 'Doorperson', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'Flatscreen TV', 'Non-smoking rooms', 'Suites']",3.5,4.5,4.0,4.0,3.5,607,562,308,181,149
